cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
48028,44.822,84.749,55.0,86.0
48031,45.29,83.339,54.0,85.0
48033,43.363,82.61666666666667,50.666666666666664,85.0
48040,43.819,82.556,53.0,84.0
48042,45.103,83.842,52.0,84.0
48044,42.111,82.997,49.0,87.0
48045,43.55,83.269,52.0,86.0
48047,44.056,84.014,49.0,84.0
48053,44.878,82.67349999999999,53.5,85.0
48055,42.361,82.668,48.0,83.0
48058,43.132,82.34,53.0,84.0
48063,44.108,82.643,51.0,85.0
48064,42.979,83.473,52.5,86.0
48068,42.778,85.012,48.0,88.0
48070,43.832,83.148,51.0,85.0
48078,42.084,82.379,48.0,86.0
48083,41.096,82.258,49.0,84.0
48088,46.128,84.978,51.0,84.0
48090,43.55,81.388,58.0,86.0
48092,46.581,85.634,50.0,88.0
48095,42.431,83.874,55.0,88.0
48096,43.968,83.72399999999999,50.0,83.5
48104,43.227,84.032,59.0,87.0
48105,43.554,84.368,48.0,85.0
48107,44.037,82.7625,51.0,85.5
48108,45.018,83.855,49.0,84.0
48114,43.8535,83.43350000000001,54.5,86.5
48120,44.508,83.815,49.0,86.0
48121,45.674,83.62,51.0,83.0
48130,42.825,83.195,48.0,82.0
48137,44.892,83.402,52.0,85.0
48138,43.052,84.092,45.0,85.0
48143,44.529,82.746,53.0,84.0
48145,41.4565,83.27950000000001,49.5,83.5
48150,44.868,82.52,45.0,83.0
48155,41.934,82.154,44.0,85.0
48156,42.947,83.595,43.0,83.0
48157,45.461,84.088,50.0,84.0
48158,44.2415,83.06700000000001,51.5,84.5
48159,45.202,82.974,50.0,84.0
48162,42.968,83.081,49.0,87.0
48167,43.319,81.734,55.0,86.0
48185,45.812,83.554,47.0,83.0
48186,43.716499999999996,82.814,46.0,83.5
48187,42.277,82.022,41.0,83.0
48188,46.407,84.083,49.0,85.0
48196,43.895,82.241,47.0,81.0
48198,43.036,83.435,52.0,85.0
48204,45.318,83.362,59.0,84.0
48207,46.866,84.276,44.0,82.0
48213,41.654,82.905,46.0,83.0
48215,42.492,80.227,49.0,79.0
48216,43.3,82.441,51.0,83.0
48217,40.257,81.903,43.0,86.0
48223,42.524,83.555,44.0,82.0
48224,40.833,82.359,48.0,85.0
48229,44.848,83.256,54.0,84.0
48230,40.847,81.625,48.0,84.0
48231,43.4565,82.6945,44.5,81.5
48234,43.984,82.0,49.0,82.0
48236,43.858,83.244,54.0,85.0
48242,45.9825,83.4865,49.5,84.5
48243,42.1195,83.0555,50.5,85.5
48244,43.540000000000006,83.96600000000001,45.5,84.0
48245,44.088,84.26,53.0,86.0
48246,43.577,83.424,51.0,84.0
48247,44.285,83.816,49.0,86.0
48248,43.245,81.768,53.0,85.0
48250,44.1775,82.682,51.0,86.0
48251,43.45,82.403,50.0,84.0
48262,44.012,82.629,46.0,83.0
48265,41.992,81.234,50.0,85.0
48269,45.377,84.229,48.0,84.0
48271,42.91,82.96,47.0,84.0
48272,42.945,83.696,50.0,85.0
48277,43.294,83.787,52.0,88.0
48279,43.577,85.498,49.0,87.0
48285,40.558,83.105,52.0,87.0
48287,43.693,81.825,51.0,82.0
48289,44.589,84.865,51.0,86.0
48293,43.08,83.26,52.0,87.0
48294,40.381,81.023,48.0,82.0
48297,42.558,82.618,47.0,84.0
48298,42.387,82.632,55.0,86.0
48299,43.7225,83.877,46.5,83.5
48301,41.425,82.502,48.0,83.0
48306,42.753,83.761,52.0,84.0
48308,42.584,82.027,58.0,87.0
48309,41.964,82.676,50.0,83.0
48312,42.022,83.28,43.0,84.0
48315,44.0095,82.547,48.0,82.5
48321,42.151,80.452,43.0,81.0
48322,42.413,81.978,45.0,81.0
48323,44.563,83.184,44.0,83.0
48324,42.336,81.844,47.0,84.0
48330,43.441,83.8925,47.0,85.0
48331,42.076,83.801,53.0,86.0
48333,42.147,82.417,44.0,86.0
48337,41.851,82.488,49.0,84.0
48346,45.123,84.472,51.0,86.0
48350,44.438,83.93700000000001,49.5,84.0
48353,43.349,84.27266666666667,50.0,85.33333333333333
48357,42.9405,82.8535,49.5,85.0
48359,44.355,83.908,49.0,85.0
48361,42.459,82.767,43.0,84.0
48365,42.262,83.623,51.0,85.0
48366,42.301,83.706,52.0,85.0
48380,41.8745,82.56299999999999,43.5,82.0
48383,42.3925,83.326,47.5,85.0
48384,45.114,83.749,57.0,86.0
48388,44.710499999999996,83.92750000000001,46.5,85.5
48392,41.92,82.493,55.0,87.0
48393,45.858,83.35,50.0,86.0
48400,43.496,83.028,49.0,83.0
48401,42.115,82.324,57.0,86.0
48402,43.0405,83.602,49.0,85.0
48407,43.345,82.148,51.0,82.0
48411,44.597,82.721,48.0,82.0
48412,43.13999999999999,83.61166666666666,45.0,84.33333333333333
48413,40.187,81.323,45.0,85.0
48414,42.675,83.447,49.0,83.0
48417,44.281,83.412,47.0,85.0
48421,44.123,83.069,44.0,81.0
48423,42.93,82.783,47.0,83.0
48424,42.157,81.315,55.0,85.0
48428,41.745,83.137,50.0,85.0
48430,43.0245,83.12450000000001,52.5,85.5
48432,43.349,82.059,54.0,85.0
48436,43.4025,83.701,46.5,83.0
48441,41.767,82.61,49.0,84.0
48444,42.01,82.684,47.0,84.0
