cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
73848,44.176,87.005,45.0,89.0
73851,47.295,87.522,55.0,87.0
73857,46.005,88.686,53.0,91.0
73858,44.77733333333333,87.654,49.666666666666664,88.66666666666667
73859,44.125,88.253,44.0,90.0
73862,41.699,87.075,48.0,87.0
73867,41.847,86.396,54.0,89.0
73879,42.819,87.119,53.0,92.0
73880,44.1845,88.196,46.0,88.0
73882,46.954,88.6,52.0,88.0
73885,46.446,88.371,51.0,91.0
73888,44.652,87.403,54.0,88.0
73891,44.684,87.92399999999999,50.0,89.33333333333333
73897,43.134,88.438,49.0,89.0
73899,47.373,88.1,52.0,89.0
73900,44.994,88.344,48.0,90.0
73904,41.322,86.501,43.0,87.0
73905,45.265,88.959,57.0,92.0
73911,46.169,89.503,54.0,93.0
73915,43.327,88.738,48.0,88.0
73918,46.411,87.393,53.0,87.0
73922,45.435,87.432,52.0,90.0
73924,43.572,88.546,50.0,90.0
73929,44.587,87.153,54.0,87.0
73933,44.369,88.753,45.0,87.0
73935,43.37,86.314,46.0,88.0
73936,41.884,87.921,50.0,90.0
73937,44.891,86.726,51.0,87.0
73939,44.107,87.418,41.0,87.0
73940,45.836,87.16,51.0,90.0
73943,44.305,87.058,54.0,91.0
73945,43.803,87.45949999999999,51.0,89.5
73952,44.5185,87.97900000000001,52.5,89.0
73955,44.064,89.065,49.0,91.0
73957,45.558,89.393,50.0,91.0
73958,46.0595,87.92500000000001,51.0,89.0
73960,43.795,88.629,45.0,90.0
73962,44.488,88.302,47.0,88.0
73963,42.709,89.175,44.0,90.0
73966,41.506,87.938,48.0,88.0
73970,45.64,87.529,50.0,87.0
73976,45.511,88.396,54.0,90.0
73977,46.015,87.124,52.0,90.0
73979,45.214,87.734,51.0,89.0
73987,44.194500000000005,87.74549999999999,51.5,91.0
73988,44.798500000000004,87.444,53.5,90.0
74000,42.678,87.696,54.0,93.0
74007,45.725,88.559,54.0,92.0
74009,43.961,89.1,47.0,90.0
